,ID,Description,Embedding
0,0,moderate young adult african american man who likes weightlifting,[-0.023 -0.015  0.007 ... -0.018 -0.001 -0.02 ]
1,0,moderate young adult african american man who likes solitaire,[-0.013 -0.01   0.012 ... -0.021  0.004 -0.033]
2,1,sedentary senior asian woman who likes walking,[ 0.006 -0.003  0.011 ... -0.017 -0.003 -0.025]
3,1,sedentary senior asian woman who likes biking,[ 0.009 -0.008  0.003 ... -0.012 -0.012 -0.038]
4,1,sedentary senior asian woman who likes weightlifting,[-0.018 -0.015  0.005 ... -0.021 -0.002 -0.028]
5,2,active adult hispanic man who likes coloring books,[-0.005  0.002  0.002 ... -0.012  0.002 -0.038]
6,2,active adult hispanic man who likes solitaire,[-0.017 -0.001  0.011 ... -0.021 -0.    -0.032]
7,3,moderate middle-aged white woman who likes weightlifting,[-0.027 -0.009 -0.011 ... -0.009 -0.002 -0.021]
8,3,moderate middle-aged white woman who likes walking,[-0.005  0.003 -0.003 ... -0.003 -0.001 -0.018]
9,4,sedentary young adult asian man who likes biking,[ 0.009 -0.004  0.021 ... -0.014 -0.009 -0.037]
10,4,sedentary young adult asian man who likes weightlifting,[-0.014 -0.01   0.023 ... -0.024  0.002 -0.028]
11,4,sedentary young adult asian man who likes walking,[ 0.007 -0.001  0.028 ... -0.021 -0.001 -0.028]
12,5,active adult hispanic woman who likes coloring books,[-0.021  0.009  0.004 ... -0.01  -0.001 -0.027]
13,5,active adult hispanic woman who likes jigsaw puzzles,[-0.03   0.001  0.01  ... -0.006 -0.004 -0.032]
14,6,moderate middle-aged african american man who likes weightlifting,[-0.026 -0.013  0.004 ... -0.018 -0.002 -0.013]
15,6,moderate middle-aged african american man who likes walking,[-0.001 -0.002  0.015 ... -0.012 -0.001 -0.012]
16,6,moderate middle-aged african american man who likes biking,[ 0.002 -0.007  0.006 ... -0.009 -0.011 -0.021]
17,7,sedentary senior asian woman who likes walking,[ 0.004  0.007  0.008 ... -0.022  0.002 -0.031]
18,7,sedentary senior asian woman who likes biking,[ 0.009 -0.008  0.003 ... -0.012 -0.012 -0.038]
19,7,sedentary senior asian woman who likes weightlifting,[-0.018 -0.015  0.005 ... -0.021 -0.002 -0.028]
20,8,active young adult hispanic man who likes coloring books,[-0.021  0.006  0.017 ... -0.008  0.001 -0.029]
21,8,active young adult hispanic man who likes knitting,[-0.028 -0.003  0.014 ...  0.013  0.004 -0.023]
22,9,moderate middle-aged asian woman who likes weightlifting,[-0.03  -0.006  0.009 ... -0.017 -0.001 -0.019]
23,9,moderate middle-aged asian woman who likes walking,[-0.005  0.008  0.016 ... -0.011 -0.    -0.017]
24,9,moderate middle-aged asian woman who likes jigsaw puzzles,[-0.016  0.     0.014 ... -0.007  0.005 -0.036]
