ID,Description,Embedding
0,moderate young adult african american man who likes sports,[-0.015 -0.01   0.014 ... -0.011  0.004 -0.006]
0,moderate young adult african american man who likes outdoors,[ 0.003 -0.004  0.01  ... -0.011  0.001 -0.016]
0,moderate young adult african american man who likes learning,[-0.015 -0.004  0.02  ... -0.017  0.007 -0.015]
0,moderate young adult african american man who likes exercise,[-0.016 -0.013  0.011 ... -0.009  0.014 -0.018]
1,active adult asian woman who likes outdoors,[-0.003 -0.005  0.003 ... -0.015  0.003 -0.023]
1,active adult asian woman who likes exercise,[-0.021 -0.017  0.002 ... -0.013  0.017 -0.029]
1,active adult asian woman who likes sports,[-0.021 -0.01   0.006 ... -0.016  0.006 -0.013]
1,active adult asian woman who likes homemaking,[-0.012 -0.008 -0.013 ... -0.004  0.009 -0.021]
2,sedentary senior hispanic man who likes relaxing,[-0.004  0.01   0.017 ... -0.01  -0.006 -0.024]
2,sedentary senior hispanic man who likes homemaking,[-0.003 -0.    -0.001 ... -0.007 -0.004 -0.021]
2,sedentary senior hispanic man who likes indoors,[ 0.005  0.     0.01  ... -0.022 -0.01  -0.019]
2,sedentary senior hispanic man who likes arts and crafts,[-0.005  0.004  0.01  ... -0.002 -0.001 -0.035]
3,moderate young adult asian woman who likes learning,[-0.018  0.007  0.025 ... -0.016  0.013 -0.023]
3,moderate young adult asian woman who likes design,[-0.006  0.002  0.008 ... -0.002  0.006 -0.029]
3,moderate young adult asian woman who likes arts and crafts,[-0.012  0.005  0.006 ...  0.005  0.011 -0.035]
3,moderate young adult asian woman who likes games,[-0.016 -0.004  0.013 ... -0.02   0.011 -0.022]
4,active adult white man who likes sports,[-0.012 -0.025 -0.006 ... -0.018  0.009 -0.009]
4,active adult white man who likes outdoors,[ 0.003 -0.019 -0.009 ... -0.017  0.006 -0.018]
4,active adult white man who likes exercise,[-0.012 -0.028 -0.01  ... -0.016  0.02  -0.021]
4,active adult white man who likes games,[-0.008 -0.027 -0.013 ... -0.027  0.014 -0.02 ]
5,sedentary middle-aged hispanic woman who likes relaxing,[-0.01   0.027  0.014 ... -0.002 -0.004 -0.024]
5,sedentary middle-aged hispanic woman who likes homemaking,[-0.011  0.015 -0.004 ... -0.    -0.002 -0.024]
5,sedentary middle-aged hispanic woman who likes indoors,[ 0.     0.014  0.007 ... -0.014 -0.008 -0.019]
5,sedentary middle-aged hispanic woman who likes arts and crafts,[-0.016  0.02   0.003 ...  0.006 -0.    -0.037]
6,moderate senior white man who likes learning,[-0.011 -0.016  0.005 ... -0.014  0.008 -0.011]
6,moderate senior white man who likes design,[ 0.007 -0.022 -0.011 ... -0.003  0.002 -0.016]
6,moderate senior white man who likes arts and crafts,[-0.003 -0.015 -0.013 ...  0.006  0.009 -0.026]
6,moderate senior white man who likes relaxing,[-0.001 -0.007 -0.003 ... -0.008  0.006 -0.016]
7,active young adult asian woman who likes sports,[-0.026 -0.012  0.015 ... -0.009  0.009 -0.016]
7,active young adult asian woman who likes outdoors,[-0.007 -0.005  0.012 ... -0.009  0.005 -0.025]
7,active young adult asian woman who likes exercise,[-0.024 -0.016  0.012 ... -0.007  0.02  -0.032]
7,active young adult asian woman who likes homemaking,[-0.016 -0.008 -0.006 ...  0.003  0.014 -0.023]
8,sedentary adult african american man who likes relaxing,[ 0.004 -0.     0.01  ... -0.011  0.002 -0.024]
8,sedentary adult african american man who likes homemaking,[ 0.002 -0.011 -0.009 ... -0.006  0.007 -0.019]
8,sedentary adult african american man who likes indoors,[ 0.011 -0.011  0.004 ... -0.021 -0.001 -0.017]
8,sedentary adult african american man who likes arts and crafts,[ 0.002 -0.004  0.003 ...  0.     0.006 -0.034]
9,moderate middle-aged asian woman who likes learning,[-0.021  0.007  0.022 ... -0.017  0.008 -0.017]
9,moderate middle-aged asian woman who likes design,[-0.008  0.004  0.004 ... -0.003  0.004 -0.022]
9,moderate middle-aged asian woman who likes arts and crafts,[-0.017  0.008  0.001 ...  0.005  0.008 -0.031]
9,moderate middle-aged asian woman who likes games,[-0.017 -0.002  0.01  ... -0.02   0.008 -0.015]
10,active senior african american man who likes sports,[-0.016 -0.029  0.001 ... -0.018 -0.001 -0.004]
10,active senior african american man who likes outdoors,[ 0.002 -0.022 -0.002 ... -0.015 -0.002 -0.013]
10,active senior african american man who likes exercise,[-0.015 -0.032 -0.002 ... -0.015  0.011 -0.017]
10,active senior african american man who likes games,[-0.015 -0.031 -0.006 ... -0.026  0.004 -0.016]
11,sedentary young adult white woman who likes relaxing,[-0.003  0.006 -0.    ... -0.002 -0.001 -0.032]
11,sedentary young adult white woman who likes arts and crafts,[-0.005 -0.    -0.008 ...  0.008  0.004 -0.044]
11,sedentary young adult white woman who likes design,[-0.001 -0.006 -0.008 ...  0.002  0.001 -0.039]
11,sedentary young adult white woman who likes games,[-0.009 -0.01  -0.004 ... -0.016  0.004 -0.033]
