,Gender,Age,Race,Likes,Dislikes
0,Female,23,White,active;outdoors;learning,mental;crafts;homemaking
1,Male,42,Black,outdoors;mental;active,learning;exploration;arts
2,Female,25,Asian,crafts;indoors;arts,passive;mental;outdoors
3,Male,68,Hispanic,passive;indoors;homemaking,relaxation;learning;physical
4,Female,39,White,mental;homemaking;crafts,outdoors;active;relaxation
5,Male,43,Black,outdoors;exploration;relaxation,indoors;passive;homemaking
6,Female,22,Hispanic,active;mental;homenaking,learning;exploration;relaxation
7,Male,45,Asian,indoors;passive;exploration,outdoors;active;mental
8,Female,35,White,active;outdoors;exploration,passive;indoors;physical
9,Male,31,Hispanic,mental;learning;relaxation,outdoors;active;arts
10,Female,26,Black,indoors;passive;crafts,outdoors;active;mental
11,Male,39,Asian,active;mental;homenaking,learning;exploration;relaxation
12,Female,40,White,indoors;passive;exploration,outdoors;active;mental
13,Male,49,Hispanic,outdoors;active;arts,passive;indoors;physical
14,Female,37,Black,mental;learning;crafts,outdoors;active;relaxation
15,Male,41,White,outdoors;active;exploration,passive;indoors;physical
16,Female,48,Asian,active;mental;homenaking,learning;exploration;relaxation
17,Male,56,Hispanic,indoors;passive;exploration,outdoors;active;mental
18,Female,53,White,outdoors;active;arts,passive;indoors;physical
19,Male,60,Black,mental;learning;crafts,outdoors;active;relaxation
