ID,Description,Embedding
0,moderate young adult african american man who likes homemaking,[-0.007 -0.009 -0.009 ... -0.     0.006 -0.011]
0,moderate young adult african american man who likes design,[ 0.001 -0.01   0.006 ... -0.003  0.004 -0.018]
0,moderate young adult african american man who likes relaxing,[-0.004  0.004  0.012 ... -0.007  0.006 -0.019]
0,moderate young adult african american man who likes arts and crafts,[-0.006 -0.005  0.003 ...  0.004  0.008 -0.026]
1,active adult asian woman who likes arts and crafts,[-0.012 -0.006 -0.006 ...  0.001  0.01  -0.036]
1,active adult asian woman who likes design,[-0.006 -0.007 -0.007 ... -0.008  0.003 -0.029]
1,active adult asian woman who likes games,[-0.017 -0.014  0.    ... -0.024  0.01  -0.024]
1,active adult asian woman who likes relaxing,[-0.011  0.007  0.006 ... -0.009  0.003 -0.024]
2,sedentary senior hispanic man who likes outdoors,[ 0.004  0.003  0.015 ... -0.016 -0.009 -0.024]
2,sedentary senior hispanic man who likes sports,[-0.012  0.     0.017 ... -0.015 -0.009 -0.015]
2,sedentary senior hispanic man who likes exercise,[-0.011 -0.004  0.016 ... -0.015  0.004 -0.027]
2,sedentary senior hispanic man who likes design,[ 0.002  0.003  0.008 ... -0.011 -0.008 -0.029]
3,moderate young adult asian woman who likes sports,[-0.018  0.001  0.019 ... -0.01   0.007 -0.013]
3,moderate young adult asian woman who likes outdoors,[ 0.     0.007  0.015 ... -0.011  0.005 -0.023]
3,moderate young adult asian woman who likes homemaking,[-0.012  0.002 -0.002 ...  0.     0.01  -0.02 ]
3,moderate young adult asian woman who likes relaxing,[-0.009  0.017  0.017 ... -0.006  0.007 -0.024]
4,active adult white man who likes homemaking,[-0.004 -0.023 -0.028 ... -0.001  0.011 -0.018]
4,active adult white man who likes design,[ 0.005 -0.022 -0.017 ... -0.009  0.007 -0.022]
4,active adult white man who likes arts and crafts,[-0.004 -0.018 -0.016 ... -0.     0.013 -0.033]
4,active adult white man who likes relaxing,[-0.002 -0.01  -0.006 ... -0.011  0.007 -0.024]
5,sedentary middle-aged hispanic woman who likes outdoors,[-0.004  0.02   0.012 ... -0.008 -0.009 -0.024]
5,sedentary middle-aged hispanic woman who likes sports,[-0.021  0.014  0.015 ... -0.008 -0.008 -0.017]
5,sedentary middle-aged hispanic woman who likes exercise,[-0.022  0.011  0.012 ... -0.009  0.005 -0.028]
5,sedentary middle-aged hispanic woman who likes design,[-0.01   0.018  0.003 ... -0.001 -0.005 -0.031]
6,moderate senior white man who likes sports,[-0.009 -0.02  -0.002 ... -0.011  0.003 -0.001]
6,moderate senior white man who likes outdoors,[ 0.009 -0.012 -0.006 ... -0.012  0.001 -0.012]
6,moderate senior white man who likes homemaking,[-0.003 -0.018 -0.023 ...  0.002  0.006 -0.011]
6,moderate senior white man who likes exercise,[-0.009 -0.024 -0.008 ... -0.008  0.017 -0.016]
7,active young adult asian woman who likes arts and crafts,[-0.016 -0.006  0.004 ...  0.008  0.012 -0.038]
7,active young adult asian woman who likes design,[-0.012 -0.008  0.002 ... -0.001  0.008 -0.032]
7,active young adult asian woman who likes games,[-0.021 -0.014  0.009 ... -0.019  0.013 -0.026]
7,active young adult asian woman who likes relaxing,[-0.014  0.006  0.015 ... -0.002  0.007 -0.027]
8,sedentary adult african american man who likes outdoors,[ 0.01  -0.006  0.007 ... -0.016  0.001 -0.023]
8,sedentary adult african american man who likes sports,[-0.005 -0.011  0.012 ... -0.016  0.002 -0.015]
8,sedentary adult african american man who likes exercise,[-0.006 -0.013  0.008 ... -0.016  0.014 -0.025]
8,sedentary adult african american man who likes design,[ 0.008 -0.008  0.002 ... -0.01   0.003 -0.029]
9,moderate middle-aged asian woman who likes sports,[-0.021  0.003  0.016 ... -0.009  0.005 -0.006]
9,moderate middle-aged asian woman who likes outdoors,[-0.002  0.009  0.011 ... -0.01   0.001 -0.017]
9,moderate middle-aged asian woman who likes homemaking,[-0.013  0.004 -0.005 ... -0.002  0.009 -0.016]
9,moderate middle-aged asian woman who likes relaxing,[-0.011  0.019  0.014 ... -0.006  0.006 -0.018]
10,active senior african american man who likes homemaking,[-0.007 -0.025 -0.017 ... -0.006  0.002 -0.01 ]
10,active senior african american man who likes design,[ 0.    -0.026 -0.01  ... -0.01  -0.003 -0.017]
10,active senior african american man who likes arts and crafts,[-0.007 -0.023 -0.008 ... -0.002  0.004 -0.025]
10,active senior african american man who likes relaxing,[-0.005 -0.013  0.004 ... -0.01  -0.001 -0.019]
11,sedentary young adult white woman who likes outdoors,[ 0.004 -0.002 -0.003 ... -0.01  -0.003 -0.03 ]
11,sedentary young adult white woman who likes sports,[-0.013 -0.006  0.001 ... -0.008 -0.    -0.024]
11,sedentary young adult white woman who likes exercise,[-0.012 -0.009 -0.001 ... -0.01   0.013 -0.034]
11,sedentary young adult white woman who likes homemaking,[-0.003 -0.003 -0.014 ... -0.001  0.003 -0.029]
